Date;Ecopetrol;Retorno Ecopetrol;Colcap;Retorno Colcap;TES 5y (anual);TES 5y (semanal);rECOP - rf;rCOLCAP - rf
19-jul-20;2,220.00;0.00%;1,173.93;1.54%;4.10%;0.08%;-0.08%;1.46%
26-jul-20;2,080.00;-6.31%;1,134.34;-3.37%;4.09%;0.08%;-6.39%;-3.45%
2-ago-20;2,170.00;4.33%;1,142.18;0.69%;4.00%;0.08%;4.25%;0.62%
9-ago-20;2,200.00;1.38%;1,153.28;0.97%;4.30%;0.08%;1.30%;0.89%
16-ago-20;2,180.00;-0.91%;1,186.29;2.86%;4.27%;0.08%;-0.99%;2.78%
23-ago-20;2,175.00;-0.23%;1,226.21;3.37%;4.38%;0.08%;-0.31%;3.29%
30-ago-20;2,145.00;-1.38%;1,240.24;1.14%;4.17%;0.08%;-1.46%;1.06%
6-sep-20;2,025.00;-5.59%;1,212.45;-2.24%;4.19%;0.08%;-5.67%;-2.32%
13-sep-20;2,115.00;4.44%;1,206.55;-0.49%;4.14%;0.08%;4.36%;-0.57%
20-sep-20;1,920.00;-9.22%;1,171.35;-2.92%;4.28%;0.08%;-9.30%;-3.00%
27-sep-20;1,910.00;-0.52%;1,165.01;-0.54%;4.17%;0.08%;-0.60%;-0.62%
4-oct-20;1,938.00;1.47%;1,190.01;2.15%;4.22%;0.08%;1.39%;2.07%
11-oct-20;1,880.00;-2.99%;1,171.80;-1.53%;4.15%;0.08%;-3.07%;-1.61%
18-oct-20;1,860.00;-1.06%;1,175.33;0.30%;4.18%;0.08%;-1.14%;0.22%
25-oct-20;1,791.00;-3.71%;1,136.75;-3.28%;4.25%;0.08%;-3.79%;-3.36%
1-nov-20;1,833.00;2.35%;1,172.34;3.13%;4.08%;0.08%;2.27%;3.05%
8-nov-20;2,000.00;9.11%;1,209.87;3.20%;4.08%;0.08%;9.03%;3.12%
15-nov-20;2,153.00;7.65%;1,239.74;2.47%;3.97%;0.07%;7.58%;2.40%
22-nov-20;2,172.00;0.88%;1,261.74;1.77%;4.05%;0.08%;0.80%;1.69%
29-nov-20;2,213.00;1.89%;1,341.23;6.30%;4.10%;0.08%;1.81%;6.22%
6-dic-20;2,310.00;4.38%;1,377.67;2.72%;4.08%;0.08%;4.30%;2.64%
13-dic-20;2,326.00;0.69%;1,426.47;3.54%;4.07%;0.08%;0.61%;3.46%
20-dic-20;2,287.00;-1.68%;1,422.21;-0.30%;4.06%;0.08%;-1.76%;-0.38%
27-dic-20;2,245.00;-1.84%;1,437.89;1.10%;4.05%;0.08%;-1.92%;1.02%
3-ene-21;2,399.00;6.86%;1,453.12;1.06%;3.96%;0.07%;6.79%;0.99%
10-ene-21;2,420.00;0.88%;1,452.58;-0.04%;3.95%;0.07%;0.81%;-0.11%
17-ene-21;2,354.00;-2.73%;1,418.98;-2.31%;3.88%;0.07%;-2.80%;-2.38%
24-ene-21;2,030.00;-13.76%;1,348.12;-4.99%;3.77%;0.07%;-13.83%;-5.06%
31-ene-21;2,155.00;6.16%;1,370.46;1.66%;3.78%;0.07%;6.09%;1.59%
7-feb-21;2,150.00;-0.23%;1,365.95;-0.33%;3.73%;0.07%;-0.30%;-0.40%
14-feb-21;2,165.00;0.70%;1,352.57;-0.98%;3.99%;0.08%;0.62%;-1.06%
21-feb-21;2,250.00;3.93%;1,359.48;0.51%;4.39%;0.08%;3.85%;0.43%
28-feb-21;2,400.00;6.67%;1,344.72;-1.09%;4.65%;0.09%;6.58%;-1.18%
7-mar-21;2,378.00;-0.92%;1,353.68;0.67%;4.64%;0.09%;-1.01%;0.58%
14-mar-21;2,370.00;-0.34%;1,324.54;-2.15%;5.33%;0.10%;-0.44%;-2.25%
21-mar-21;2,351.00;-0.80%;1,314.46;-0.76%;5.53%;0.10%;-0.90%;-0.86%
28-mar-21;2,366.00;0.64%;1,316.81;0.18%;5.65%;0.11%;0.53%;0.07%
4-abr-21;2,260.00;-4.48%;1,322.11;0.40%;5.33%;0.10%;-4.58%;0.30%
11-abr-21;2,301.00;1.81%;1,317.08;-0.38%;5.31%;0.10%;1.71%;-0.48%
18-abr-21;2,228.00;-3.17%;1,282.21;-2.65%;5.34%;0.10%;-3.27%;-2.75%
25-abr-21;2,210.00;-0.81%;1,250.65;-2.46%;5.64%;0.11%;-0.92%;-2.57%
2-may-21;2,288.00;3.53%;1,281.93;2.50%;5.86%;0.11%;3.42%;2.39%
9-may-21;2,387.00;4.33%;1,289.75;0.61%;5.77%;0.11%;4.22%;0.50%
16-may-21;2,285.00;-4.27%;1,244.08;-3.54%;5.94%;0.11%;-4.38%;-3.65%
23-may-21;2,211.00;-3.24%;1,206.63;-3.01%;5.87%;0.11%;-3.35%;-3.12%
30-may-21;2,355.00;6.51%;1,245.44;3.22%;5.70%;0.11%;6.40%;3.11%
6-jun-21;2,391.00;1.53%;1,261.61;1.30%;5.89%;0.11%;1.42%;1.19%
13-jun-21;2,397.00;0.25%;1,257.29;-0.34%;5.85%;0.11%;0.14%;-0.45%
20-jun-21;2,770.00;15.56%;1,284.20;2.14%;6.18%;0.12%;15.44%;2.02%
27-jun-21;2,851.00;2.92%;1,289.38;0.40%;6.11%;0.11%;2.81%;0.29%
4-jul-21;2,761.00;-3.16%;1,293.02;0.28%;6.00%;0.11%;-3.27%;0.17%
11-jul-21;2,560.00;-7.28%;1,272.49;-1.59%;6.07%;0.11%;-7.39%;-1.70%
18-jul-21;2,551.00;-0.35%;1,254.24;-1.43%;6.04%;0.11%;-0.46%;-1.54%
25-jul-21;2,633.00;3.21%;1,236.73;-1.40%;6.06%;0.11%;3.10%;-1.51%
1-ago-21;2,547.00;-3.27%;1,226.59;-0.82%;6.12%;0.11%;-3.38%;-0.93%
8-ago-21;2,586.00;1.53%;1,268.79;3.44%;6.13%;0.11%;1.42%;3.33%
15-ago-21;2,536.00;-1.93%;1,326.91;4.58%;6.18%;0.12%;-2.05%;4.46%
22-ago-21;2,660.00;4.89%;1,325.51;-0.11%;6.11%;0.11%;4.78%;-0.22%
29-ago-21;2,635.00;-0.94%;1,327.47;0.15%;6.13%;0.11%;-1.05%;0.04%
5-sep-21;2,553.00;-3.11%;1,320.52;-0.52%;6.24%;0.12%;-3.23%;-0.64%
12-sep-21;2,566.00;0.51%;1,321.85;0.10%;6.49%;0.12%;0.39%;-0.02%
19-sep-21;2,550.00;-0.62%;1,309.38;-0.94%;6.70%;0.12%;-0.74%;-1.06%
26-sep-21;2,769.00;8.59%;1,370.25;4.65%;6.53%;0.12%;8.47%;4.53%
3-oct-21;2,908.00;5.02%;1,401.00;2.24%;6.58%;0.12%;4.90%;2.12%
10-oct-21;2,960.00;1.79%;1,426.20;1.80%;6.72%;0.13%;1.66%;1.67%
17-oct-21;2,890.00;-2.36%;1,399.64;-1.86%;6.96%;0.13%;-2.49%;-1.99%
24-oct-21;2,847.00;-1.49%;1,394.04;-0.40%;7.14%;0.13%;-1.62%;-0.53%
31-oct-21;2,877.00;1.05%;1,388.56;-0.39%;7.42%;0.14%;0.91%;-0.53%
7-nov-21;2,840.00;-1.29%;1,356.48;-2.31%;7.51%;0.14%;-1.43%;-2.45%
14-nov-21;2,645.00;-6.87%;1,298.64;-4.26%;7.45%;0.14%;-7.01%;-4.40%
21-nov-21;2,536.00;-4.12%;1,318.31;1.51%;7.65%;0.14%;-4.26%;1.37%
28-nov-21;2,661.00;4.93%;1,431.94;8.62%;7.34%;0.14%;4.79%;8.48%
5-dic-21;2,707.00;1.73%;1,389.16;-2.99%;7.25%;0.13%;1.60%;-3.12%
12-dic-21;2,645.00;-2.29%;1,395.00;0.42%;7.55%;0.14%;-2.43%;0.28%
19-dic-21;2,647.00;0.08%;1,401.66;0.48%;7.61%;0.14%;-0.06%;0.34%
26-dic-21;2,690.00;1.62%;1,410.97;0.66%;7.64%;0.14%;1.48%;0.52%
2-ene-22;2,651.00;-1.45%;1,394.22;-1.19%;8.25%;0.15%;-1.60%;-1.34%
9-ene-22;2,801.00;5.66%;1,431.84;2.70%;8.31%;0.15%;5.51%;2.55%
16-ene-22;2,851.00;1.79%;1,523.56;6.41%;8.15%;0.15%;1.64%;6.26%
23-ene-22;2,886.00;1.23%;1,529.85;0.41%;8.61%;0.16%;1.07%;0.25%
30-ene-22;2,901.00;0.52%;1,522.41;-0.49%;8.41%;0.16%;0.36%;-0.65%
